#,Background,Stance,Mango Color,Eyes,Mouth,Costume,Costume Color,Hat,Weapon 1,Weapon 2,Weapon 3,Affinity,Special Edition
mh0,Lime Green,Floating,Orange,Unknown,Unknown,Hockey Mask,White/Blood,None,None,None,None,Hero,Travis D
mh4865,Evening,Fun,Blue,Jester,Cig,Wasteland,Red,None,MPAS-12,None,None,Hero,None
mh4866,Teal Black,Fun,Sunrise,Focused Red,Joint,Slime Shirt,Pink,None,None,None,None,Hero,None
mh4867,Turquoise Center,Fun,Red,Surprise,Leaf,Mangonaut,White,None,None,None,None,Hero,None
mh4868,Pink White,Fun,Purple,Cute,Fright,Trunks,Purple,None,None,None,None,Hero,None
mh4869,Ocean 3,Fighting,Red,Angry 3,Woozy,Straw Hat,Red,Straw Hat,None,None,None,Hero,None
mh4870,Cornered Purple,Fun,Purple,Angry 2,Triumph,Alchemist,Pink,None,Otomeiru,None,None,Hero,None
mh4871,Sunset,Fun,Normal,Angry 3,Clench 1,9000,Blue,None,Mangoball,9000,None,Hero,None
mh4872,Pink White,Fun,Blue,Focused Red,Buck,Trunks,Red,None,None,None,None,Hero,None
mh4873,Sun,Fun,Blue,Concentrate,Buck,Chad,White,None,Jo,None,None,Hero,None
mh4874,Ocean 1,Fun,Red,Patch,Sinister,Boxer,White,None,Gloves,None,None,Hero,None
mh4875,Mango Island,Fun,Green,Mask,Cigar,Mango Man,Green,None,None,None,None,Hero,None
mh4876,Sky 1,Fun,Purple,Scared,Buck,Mango Radio,Green,None,None,None,None,Hero,None
mh4877,Mango Island,Fun,Purple,Skeptic,Lower,Juiced,Blue,None,None,None,None,Hero,None
mh4878,Sky 2,Fun,Sunrise,Scar Right,Mustache 2,Swimmer,Pink,Swimmer,None,None,None,Hero,None
mh4879,Blue Yellow,Fun,Normal,Eager,Jester Red,Jester,Yellow,None,None,None,None,Hero,None
mh4880,TBT,Fun,Red,Eager,Cupid,Slime Shirt,Pink,None,None,None,None,Hero,None
mh4881,TBT Radial,Fun,Blue,Piercing Worn,Woozy,Cope,Black,None,None,None,None,Hero,Cope
mh4882,Blue Center Dark,Fighting,Pink,Bored,Mock,Mango Ranger,Blue,None,None,None,None,Hero,None
mh4883,Green Black,Fun,Normal,Fire,Buck,Guerrilla,Black,None,AM-47,None,None,Hero,None
mh4884,Sky 2,Fun,Pink,Yikes,Clench 1,Mango Radio,Yellow,None,None,None,None,Hero,None
mh4885,Green Bubble,Fun,Purple,Happy,Wheat,Shirt,Blue,Pirate,Hook,None,None,Hero,None
mh4886,Sky 2,Fun,Pink,Stunned,Full Metal,Swimmer,Green,Swimmer,None,None,None,Hero,None
mh4887,Green Black,Fun,Normal,Angry 2,Joint,Mercenary,Black,None,AM-47,None,None,Hero,None
mh4888,Purple Center,Fun,Purple,Wink 2,Cig,Biz,Tan,None,None,None,None,Hero,None
mh4889,Mushroom,Fun,Pink,Spectacles Angry,Fright,Plumber,Purple,Plumber,None,None,None,Hero,None
mh4890,Sky 1,Fun,Green,Eager,Wheat,Mango Radio,Blue,None,None,None,None,Hero,None
mh4891,Tangelo,Fighting,Pink,Stunned,Yum,Viking,Brown,Viking,Shield,None,None,Hero,None
mh4892,Stars,Fun,Normal,Cute,Cigar 2,Space Suit,Red,None,None,None,None,Hero,None
mh4893,Fallen,Fun,Pink,Sinister,Sinister,Ghoul,White,None,Rinkaku Red,None,None,Hero,None
mh4894,Tangelo,Fighting,Blue,Normal,Smooch,Viking,Brown,Viking,Shield,None,None,Hero,None
mh4895,Pink White,Fun,Green,Glasses,Leaf,Trunks,Pink,None,None,None,None,Hero,None
mh4896,Blue Yellow,Fun,Sunrise,Shock,Cigar,Jester,Purple,None,None,None,None,Hero,None
mh4897,Blue Yellow,Fun,Normal,Intense Worn,Plumber,Jester,Purple,None,None,None,None,Hero,None
mh4898,Cornered Purple,Fun,Purple,Piercing Worn,Wheat,Alchemist,Red,None,Otomeiru,None,None,Hero,None
mh4899,Sea,Fun,Green,Eager,Knife,Rockstar,Black,None,None,None,Knife,Hero,None
mh4900,Pink Black,Fun,Pink,Cobra,Plumber,Cope,Black,None,None,None,None,Hero,Cope
mh4901,Barrel Red,Fun,Normal,Angry 2,Whiskers,Special Agent O,Black,None,Mango MPK,None,None,Hero,None
mh4902,Rising Sun,Fun,Pink,Scar Left,Whiskers,Ronin,White,None,Katana,None,None,Hero,None
mh4903,Rising Sun,Fun,Sunrise,Piercing,Leaf,Ronin,Tan,None,Katana,None,None,Hero,None
mh4904,Purple Center,Fun,Red,Alien White,Buck,Biz,Green,None,None,None,None,Hero,None
mh4905,Desolate,Kanjo,Normal,Fierce,Primed,Space Monk,Brown,None,Light Sword Red,None,None,Hero,None
mh4906,Sea,Fun,Purple,Surprise,Zipped,Rockstar,Black,None,None,None,None,Hero,None
mh4907,Grey White,Fun,Purple,Crying,Surgical,Grease,Blue,None,None,None,None,Hero,None
mh4908,Cornered Purple,Fun,Purple,Resent,Ghoulish,Alchemist,Red,None,Otomeiru,None,None,Hero,None
mh4909,Evening,Fun,Normal,Jester,Leaf,Wasteland,Yellow,None,MPAS-12,None,None,Hero,None
mh4910,Ocean 3,Fighting,Blue,Shock,Smooch,Straw Hat,Red,Straw Hat,None,None,None,Hero,None
mh4911,TBT,Fun,Sunrise,Cute,Cheese,FFF,Purple,None,None,None,None,Hero,FFF
mh4912,Pink White,Fun,Normal,Focused Black,Clench 1,Trunks,Black,None,None,None,None,Hero,None
mh4913,Planets,Fun,Green,Eager,Leaf,Space Wrangler,Tan,Space Wrangler,Mango-45,Mango Ray,None,Hero,None
mh4914,Mango Island,Fun,Red,Mask,Cigar 2,Mango Man,Green,None,None,None,None,Hero,None
mh4915,Stars,Fun,Blue,Eager,uwu,Space Suit,Red,None,None,None,None,Hero,None
mh4916,Planets,Fun,Green,Piercing Worn,Smooch,Space Wrangler,Green,Space Wrangler,Mango-45,Mango Ray,None,Hero,None
mh4917,Evening,Fun,Purple,Wink,Wheat,Wasteland,Green,None,MPAS-12,None,None,Hero,None
mh4918,Mango Island,Fun,Purple,Eagle,Eagle,Eagle,Green,None,None,None,None,Hero,None
mh4919,Red Cornered,Fun,Red,Plead 1,Mustache 2,Agent O,Black,None,Mango MPK,Pencil,None,Hero,None
mh4920,Ocean 1,Fun,Sunrise,Angry 3,Plumber,Boxer,Orange,None,Gloves,None,None,Hero,None
mh4921,Tangelo,Fighting,Blue,Worry 1,Tasty,Viking,Brown,Viking,Shield,None,None,Hero,None
mh4922,Purple Grey,Fun,Red,Intense Worn,Mustache 2,Ghoul,Black,None,Rinkaku Red,None,None,Hero,None
mh4923,Bonsai,Fighting,Red,Intense,Samurai,Samurai,Red,Samurai,Katana,None,None,Hero,None
mh4924,Sea,Fun,Purple,Eager,Zipped,Rockstar,Black,None,None,None,None,Hero,None
mh4925,Tangelo,Fighting,Pink,Happy,Yum,Viking,Brown,Viking,Shield,None,None,Hero,None
mh4926,TBT,Fun,Purple,Resent,Yell,FFF,Purple,None,None,None,None,Hero,FFF
mh4927,Bonsai,Fighting,Blue,Intense,Shogun,Shogun,Black,Shogun,Wakizashi & Tanto,Bow,None,Hero,None
mh4928,Green Mangos,Fun,Sunrise,Concentrate,Pacifier,Diaper,White,None,None,None,None,Hero,None
mh4929,Planets,Fun,Green,Scared,Wheat,Space Wrangler,Purple,Space Wrangler,Mango-45,Mango Ray,None,Hero,None
mh4930,Sun,Fun,Purple,Tired,Plumber,Chad,White,None,Jo,None,None,Hero,None
mh4931,Orange Center,Fun,Sunrise,Heart,Clench 1,Caliburn Combat,Red,None,None,None,None,Hero,None
mh4932,Blue Center Light,Fun,Pink,Focused Red,Sinister,School,Purple,None,None,None,None,Hero,None
mh4933,Purple Center,Fun,Green,Piercing,Plumber,Biz,Red,None,None,None,None,Hero,None
mh4934,Tangelo,Fighting,Green,Star,Clench 2,Viking,Brown,Viking,Shield,None,None,Hero,None
mh4935,Red Cornered,Fun,Purple,Yikes,Buck,Agent A,Yellow,None,Mango MPK,Pencil,None,Hero,None
mh4936,Purple Center,Fun,Purple,Intense Worn,Fright,Biz,Tan,None,None,None,None,Hero,None
mh4937,Turquoise Center,Fun,Red,Yikes,Fright,Mangonaut,Green,None,None,None,None,Hero,None
mh4938,Green Black,Fun,Normal,Angry 3,Jester Purple,Guerrilla,Blue,None,AM-47,None,None,Hero,None
mh4939,Pink Orange,Fun,Purple,Focused Red,Mustache,FFF,Purple,None,None,None,None,Hero,FFF
mh4940,Ocean 3,Fighting,Sunrise,Fire,Gum,Straw Hat,Yellow,Straw Hat,None,None,None,Hero,None
mh4941,TBT Radial,Fun,Red,Alien White,Gum,Kaiju Shirt,Red,None,None,None,None,Hero,Kaiju
mh4942,Orange Center,Fun,Purple,Calm,Buck,Caliburn Combat,Blue,None,None,None,None,Hero,None
mh4943,Brown Grey,Fun,Pink,Skeptic,Sinister,Furutsu,Yellow,None,None,None,None,Hero,None
mh4944,Pink Black,Fun,Blue,Shock,Cig,FFF,Purple,None,None,None,None,Hero,FFF
mh4945,Ocean 1,Fun,Pink,Sinister,Fright,Boxer,Orange,None,Gloves,None,None,Hero,None
mh4946,TBT Radial,Fun,Red,Yikes,Cig,Puffy,Blue,None,None,None,None,Hero,None
mh4947,Green,Floating,Orange,Closed Happy ,Happy,Princess Mango,Gold,Crown,None,None,None,Hero,Travis D
mh4948,Mushroom,Fun,Normal,Plead 1,Full Metal,Plumber,Red,Plumber,None,None,None,Hero,None
mh4949,Dojo Light,Fighting,Blue,Angry,Shinobi,Shinobi,Red,None,Katana,Shuriken,None,Hero,None
mh4950,Red Center Dark,Fighting,Normal,Plead 2,Clench 2,Mango Ranger,Red,None,None,None,None,Hero,None
mh4951,Teal Black,Fun,Red,Piercing Worn,Cigar 2,Kaiju Shirt,Red,None,None,None,None,Hero,Kaiju
mh4952,Teal Black,Fun,Purple,Scared,Fright,Cope,Black,Magician,Wand,None,None,Hero,Cope
mh4953,Radiant Orange,Fox Chill,Normal,Fox Inquisitive,Smirk,Cope Hoodie,Black,Fox Ears,None,None,None,Hero,Famous Fox Special
mh4954,Blue Center,Fun,Normal,Tired,Wheat,Purple,None,None,None,None,None,Hero,None
mh4955,Mango Island,Fun,Sunrise,Mask,Yum,Mango Man,Green,None,None,None,None,Hero,None
mh4956,Purple,Floating,Orange,Anime,Gentle,Bunny Girl,White,Bunny Ears,None,None,None,Hero,Travis D
mh4957,Mango Island,Fun,Sunrise,Spectacles Angry,Clench 1,Arachnoid,Blue,None,Mech Arms,None,None,Hero,None
mh4958,Mango Island,Fun,Red,Mask,Plumber,Mango Man,Green,None,None,None,None,Hero,None
mh4959,Cornered Purple,Fun,Pink,Sinister,Sinister,Alchemist,Yellow,None,Otomeiru,None,None,Hero,None
mh4960,Ocean 3,Fighting,Blue,Normal,Smile,Straw Hat,Red,Straw Hat,None,None,None,Hero,None
mh4961,Orange Center,Fun,Blue,Patch,Fright,Caliburn Combat,Yellow,None,None,None,None,Hero,None
mh4962,Stars,Fun,Red,Cute,Smirk,Space Suit,Red,None,None,None,None,Hero,None
mh4963,TBT,Fun,Sunrise,Jester,Whistle,Tiger,Orange,None,None,None,None,Hero,None
mh4964,Gold,Fighting,Purple,Ded,Yell,Mango Ranger,Yellow,None,None,None,None,Hero,None
mh4965,Sunset,Fun,Pink,Jester,Ghoulish,Mangoball,Pink,None,Mangoball,None,None,Hero,None
mh4966,Teal Black,Fun,Red,Focused Black,Happy,FFF,Purple,None,None,None,None,Hero,FFF
mh4967,Stars,Fun,Pink,Focused Red,Zipped,Space Suit,Red,None,None,None,None,Hero,None
mh4968,TBT,Fun,Pink,Angry 2,Twig,FFF,Purple,Pirate,Hook,None,None,Hero,FFF
mh4969,Sky 2,Fun,Purple,Intense Worn,Leaf,Swimmer,None,Swimmer,None,None,None,Hero,None
mh4970,Pink Black,Fun,Normal,Piercing,Full Metal,Cope,Black,None,None,None,None,Hero,Cope
mh4971,Barrel Black,Fun,Red,Resent,Clench 1,Special Agent O,Black,None,Mango MPK,None,None,Hero,None
mh4972,Teal Black,Fun,Pink,Sinister,Sour,Tiger,Orange,None,None,None,None,Hero,None
mh4973,Blue Yellow,Fun,Purple,Wink,Triumph,Jester,Purple,None,None,None,None,Hero,None
mh4974,Blue Center Light,Fun,Normal,Intense Worn,Buck,School,Blue,None,None,None,None,Hero,None
mh4975,Mango Island,Fun,Normal,Mask,Triumph,Mango Man,Green,None,None,None,None,Hero,None
mh4976,Sakura,Fun,Pink,Cute,Mustache 2,Damasi,Black,None,None,None,None,Hero,None
mh4977,Sunset,Fun,Sunrise,Focused Black,Lower,Mangoball,Purple,None,Mangoball,None,None,Hero,None
mh4978,Bonsai,Fighting,Normal,Intense,Samurai,Samurai,Silver,Samurai,Katana,None,None,Hero,None
mh4979,Mushroom,Fun,Red,Envy,Triumph,Plumber,Red,Plumber,None,None,None,Hero,None
mh4980,Tangelo,Fighting,Sunrise,Calm,Yum,Viking,Brown,Viking,Shield,None,None,Hero,None
mh4981,TBT,Fun,Blue,Focused Black,Cigar 2,Slime Shirt,Pink,None,None,None,None,Hero,None
mh4982,Peach Center,Fun,Sunrise,Eager,Zipped,Cape,Yellow,None,None,None,None,Hero,None
mh4983,Sunset,Fun,Blue,Ded,Pucker,Mangoball,Orange,None,Mangoball,None,None,Hero,None
mh4984,Mango Island,Fun,Blue,Mask,Lip,Mango Man,Green,None,None,None,None,Hero,None
mh4985,TBT Radial,Fun,Purple,Eager,Tongue,Cope,Black,None,None,None,None,Hero,Cope
mh4986,Green Mangos,Fun,Blue,Pixelshades,Pacifier,Diaper,White,None,None,None,None,Hero,None
mh4987,Teal Black,Fun,Pink,Intense Worn,Yell,Cope,Black,None,None,None,None,Hero,Cope
mh4988,Sun,Fun,Pink,Ded,Cupid,Chad,White,None,Jo,None,None,Hero,None
mh4989,Ocean 3,Fighting,Blue,Calm,Mock,Straw Hat,Yellow,Straw Hat,None,None,None,Hero,None
mh4990,Brown Grey,Fun,Sunrise,Resent,Cig,Furutsu,Green,None,None,None,None,Hero,None
mh4991,Sunset,Fun,Normal,Resent,Ghoulish,Mangoball,Orange,None,Mangoball,None,None,Hero,None
mh4992,Teal Black,Fun,Purple,Cute,Happy,Cope,Black,None,None,None,None,Hero,Cope
mh4993,Bonsai,Fighting,Blue,Intense,Shogun,Shogun,None,Shogun,Wakizashi & Tanto,Bow,None,Hero,None
mh4994,Blue Center Light,Fun,Normal,Tired,Fright,School,Red,None,None,None,None,Hero,None
mh4995,Sakura,Fun,Red,Eager,Buck,Damasi,Black,None,None,None,None,Hero,None
mh4996,Purple Center,Fun,Green,Intense Worn,Leaf,Biz,Tan,None,None,None,None,Hero,None
mh4997,Evening,Fun,Normal,Cyclops,Lower,Wasteland,Purple,None,MPAS-12,None,None,Hero,None
mh4998,Purple Grey,Fun,Pink,Cobra,Leaf,Ghoul,Black,None,Rinkaku Red,None,None,Hero,None
mh4999,Peach Center,Fun,Purple,Sinister,Sour,Cape,Red,None,None,None,None,Hero,None
mh5000,Grey White,Fun,Green,Normal,Surgical,Grease,Blue,Pirate,Hook,None,None,Hero,None
mh5001,TBT,Fun,Red,Angry 2,Smooch,Slime Shirt,Pink,None,None,None,None,Hero,None
mh5002,Purple Center,Fun,Sunrise,Eager,Ghoulish,Biz,Pink,None,None,None,None,Hero,None
mh5003,Blue Yellow,Fun,Purple,Intense Worn,Mustache 2,Jester,Purple,None,None,None,None,Hero,None
mh5004,Sky 1,Fun,Sunrise,Happy,Smoke,Mango Radio,Blue,None,None,None,None,Hero,None
mh5005,Stars,Fun,Sunrise,Eager,Knife,Space Suit,Red,None,None,None,Knife,Hero,None
mh5006,Sky 2,Fun,Normal,Plead 2,Fright,Swimmer,Yellow,Swimmer,None,None,None,Hero,None
mh5007,Planets,Fun,Red,Pixelshades,Whiskers,Space Wrangler,Tan,Space Wrangler,Mango-45,Mango Ray,None,Hero,None
mh5008,Barrel White,Fun,Pink,Cute,Joint,Special Agent N,Pink,None,Mango MPK,None,None,Hero,None
mh5009,Brown Grey,Fun,Pink,Piercing,Cig,Furutsu,White,None,None,None,None,Hero,None
mh5010,Grey White,Fighting,Blue,Plead 1,Cheeky,Grease,Blue,Mango Cap,None,None,None,Hero,None
mh5011,TBT,Fun,Red,Resent,Zipped,Slime Shirt,Pink,None,None,None,None,Hero,None
mh5012,Mango Island,Fun,Red,Mask,Lower,Mango Man,Green,None,None,None,None,Hero,None
mh5013,Ocean 1,Fun,Red,Intense,Clench 1,Boxer,Orange,None,Gloves,None,None,Hero,None
mh5014,Blue Bubble,Fun,Blue,Fire,Wheat,Slime Shirt,Pink,Pirate,Hook,None,None,Hero,None
mh5015,Pink Orange,Fun,Pink,Glasses,Jester Purple,Slime Shirt,Pink,None,None,None,None,Hero,None
mh5016,Mushroom,Fun,Normal,Plead 1,Leaf,Plumber,White,Plumber,None,None,None,Hero,None
mh5017,Sakura,Fun,Sunrise,Angry 2,Ghoulish,Damasi,Pink,None,None,None,None,Hero,None
mh5018,Teal Black,Fun,Pink,Ghoulish,Frown,Slime Shirt,Pink,None,None,None,None,Hero,None
mh5019,Sunset,Fun,Purple,Resent,Leaf,9000,Blue,None,Mangoball,9000,None,Hero,None
mh5020,Bonsai,Fighting,Pink,Intense,Shogun,Shogun,Red,Shogun,Wakizashi & Tanto,Bow,None,Hero,None
mh5021,Teal Black,Fun,Blue,Yikes,Whistle,Kaiju Shirt,Red,None,None,None,None,Hero,Kaiju
mh5022,Sun,Fun,Purple,Joy,Sinister,Chad,White,None,Jo,None,None,Hero,None
mh5023,Dojo Light,Fighting,Purple,Angry,Shinobi,Shinobi,Pink,None,Katana,Shuriken,None,Hero,None
mh5024,Blue Yellow,Fun,Blue,Angry 2,Mustache 2,Jester,Purple,None,None,None,None,Hero,None
mh5025,Sakura,Fun,Normal,Intense Worn,Mustache 2,Damasi,Black,None,None,None,None,Hero,None
mh5026,Bonsai,Fighting,Purple,Intense,Shogun,Shogun,White,Shogun,Wakizashi & Tanto,Bow,None,Hero,None
mh5027,Stars,Fun,Purple,Resent,Zipped,Space Suit,Red,None,None,None,None,Hero,None
mh5028,Peach Center,Fun,Blue,Surprise,Frown,Cape,Green,None,None,None,None,Hero,None
mh5029,Bonsai,Fighting,Pink,Intense,Shogun,Shogun,Gold,Shogun,Wakizashi & Tanto,Bow,None,Hero,None
mh5030,Red Cornered,Fun,Red,Sinister,Whiskers,Special Agent O,Black,None,Mango MPK,None,None,Hero,None
mh5031,Cornered Purple,Fun,Red,Wink 2,Clench 1,Alchemist,Red,None,Otomeiru,None,None,Hero,None
mh5032,Pink White,Fun,Normal,Sinister,Whiskers,Trunks,Pink,None,None,None,None,Hero,None
mh5033,Pink Orange,Fun,Pink,Intense Worn,Whiskers,Kaiju Shirt,Red,None,None,None,None,Hero,Kaiju
mh5034,Barrel Black,Fun,Normal,Sinister,Wheat,Special Agent O,Black,None,Mango MPK,None,None,Hero,None
mh5035,TBT Radial,Fun,Pink,Goggles,Jester Red,Slime Shirt,Pink,Pirate,Hook,None,None,Hero,None
mh5036,Teal Black,Fun,Red,Surprise,Mustache,Tiger,Orange,Magician,Wand,None,None,Hero,None
mh5037,Grey White,Fighting,Normal,Skeptic,Yum,Grease,Blue,None,None,None,None,Hero,None
mh5038,Orange Center,Fun,Pink,Piercing Worn,Knife,Caliburn Combat,White,None,None,None,Knife,Hero,None
mh5039,Mushroom,Fun,Purple,Money,Whiskers,Plumber,Red,Plumber,None,None,None,Hero,None
mh5040,Ocean 1,Fun,Pink,Angry 2,Cig,Boxer,Orange,None,Gloves,None,None,Hero,None
mh5041,Sun,Fun,Red,Surprice,Cheeky,Chad,White,None,Jo,None,None,Hero,None
mh5042,Turquoise Center,Fun,Pink,Yikes,Sinister,Mangonaut,White,None,None,None,None,Hero,None
mh5043,Red Cornered,Fun,Blue,Focused Black,Lip,Hit Mango,Green,None,Mango MPK,Pencil,None,Hero,None
mh5044,Teal Black,Fun,Purple,Surprise,Mask Yellow,Sweater,Pink,Mariachi,Maraca,None,None,Hero,None
mh5045,Sun,Fun,Normal,Piercing Worn,Triumph,Chad,White,None,Jo,None,None,Hero,None
mh5046,Purple Center,Fun,Green,Jester,Plumber,Biz,Tan,None,None,None,None,Hero,None
mh5047,Ocean 1,Fun,Blue,Patch,Cupid,Boxer,Purple,None,Gloves,None,None,Hero,None
mh5048,Rising Sun,Fun,Red,Resent,Cheeky,Ronin,White,None,Katana,None,None,Hero,None
mh5049,TBT Radial,Fun,Pink,Alien Yellow,Plumber,Slime Shirt,Pink,Cap,None,None,None,Hero,None
mh5050,Blue Center Light,Fun,Normal,Joy,Buck,School,Blue,None,None,None,None,Hero,None
mh5051,Teal Black,Fun,Pink,Focused Black,Clench 3,Shirt,Blue,None,None,None,None,Hero,None
mh5052,Brown Grey,Fun,Blue,Wink 2,Frown,Furutsu,Pink,None,None,None,None,Hero,None
mh5053,Purple Blue,Fun,Pink,Ghoulish,Cig,24,Yellow,None,Mango Mentality,None,None,Hero,None
mh5054,Brown Grey,Fun,Red,Skeptic,Leaf,Furutsu,Green,None,None,None,None,Hero,None
mh5055,TBT,Fun,Pink,Jester,Whistle,Kaiju Shirt,Red,None,None,None,None,Hero,Kaiju
mh5056,Ocean 1,Fun,Purple,Piercing Worn,Cigar,Boxer,Orange,None,Gloves,None,None,Hero,None
mh5057,Dark Temple,Kanjo,Normal,Fierce,Primed,Space Monk,Black,None,Light Sword Red,None,None,Hero,None
mh5058,Rising Sun,Fun,Purple,Focused Red,Triumph,Ronin,Tan,None,Katana,None,None,Hero,None
mh5059,Orange Center,Fun,Purple,Piercing,Mustache 2,Caliburn Combat,Pink,None,None,None,None,Hero,None
mh5060,TBT,Fun,Red,Piercing Worn,Leaf,Striped,White,None,None,None,None,Hero,None
mh5061,TBT Radial,Fun,Purple,Patch,Sinister,Kaiju Shirt,Red,Pirate,Hook,None,None,Hero,Kaiju
mh5062,Sky 1,Fun,Normal,Patch,Sinister,Mango Radio,Green,None,None,None,None,Hero,None
mh5063,Planets,Fun,Purple,Joy,Cigar,Space Wrangler,Pink,Space Wrangler,Mango-45,Mango Ray,None,Hero,None
mh5064,Pink Black,Fun,Sunrise,Calm,Plumber,Sweater,Pink,None,None,None,None,Hero,None
mh5065,Purple Grey,Fun,Pink,Pixelshades,Leaf,Ghoul,White,None,Rinkaku Red,None,None,Hero,None
mh5066,Brown Grey,Fun,Normal,Eager,Triumph,Furutsu,Orange,None,None,None,None,Hero,None
mh5067,Ocean 1,Fun,Sunrise,Piercing Worn,Whiskers,Boxer,Orange,None,Gloves,None,None,Hero,None
mh5068,Pink Black,Fun,Red,Pixelshades,Triumph,Cope,Black,None,None,None,None,Hero,Cope
mh5069,Green Black,Fun,Normal,Angry 3,Clench 1,Guerrilla,Black,None,AM-47,None,None,Hero,None
mh5070,Teal Black,Fun,Red,Scared,Whiskers,Slime Shirt,Pink,Mariachi,Maraca,None,None,Hero,None
mh5071,Mushroom,Fun,Normal,Surprise,Clench 1,Plumber,Black,Plumber,None,None,None,Hero,None
mh5072,Pink Black,Fun,Purple,Sinister,Cigar,Cope,Black,Magician,Wand,None,None,Hero,Cope
mh5073,TBT,Fun,Pink,Skeptic,Full Metal,Kaiju Shirt,Red,Magician,Wand,None,None,Hero,Kaiju
mh5074,Planets,Fun,Pink,Glasses,Sinister,Space Wrangler,Tan,Space Wrangler,Mango-45,Mango Ray,None,Hero,None
mh5075,Red Cornered,Fun,Sunrise,Jester,Lip,Agent A,Yellow,None,Mango MPK,Pencil,None,Hero,None
mh5076,Green Black,Fun,Normal,Cobra,Cigar,Guerrilla,Black,None,AM-47,None,None,Hero,None
mh5077,Sun,Fun,Normal,Intense,Ghoulish,Chad,White,None,Jo,None,None,Hero,None
mh5078,Orange Center,Fun,Blue,Spectacles,Mask Yellow,Caliburn Combat,Yellow,None,None,None,None,Hero,None
mh5079,Rising Sun,Fun,Red,Sinister,Jester Purple,Ronin,Tan,None,Katana,None,None,Hero,None
mh5080,Pink White,Fun,Normal,Focused Black,Buck,Trunks,Pink,None,None,None,None,Hero,None
mh5081,Red Cornered,Fun,Blue,Jester,Wheat,Agent N,Pink,None,Mango MPK,Pencil,None,Hero,None
mh5082,Red Cornered,Fun,Purple,Jester,Clench 1,Agent O,Black,None,Mango MPK,Pencil,None,Hero,None
mh5083,Teal Black,Fun,Red,Piercing,Fright,FFF,Purple,Mariachi,Maraca,None,None,Hero,FFF
mh5084,Pink White,Fun,Pink White,Sunrise,Fright,Trunks,Purple,None,None,None,None,Hero,None
mh5085,Teal Black,Fun,Purple,Fire,Joint,Kaiju Shirt,Red,Pirate,Hook,None,None,Hero,Kaiju
mh5086,TBT,Fun,Purple,Angry 2,Yum,Diaper,White,None,None,None,None,Hero,None
mh5087,Mango Island,Fun,Red,Spectacles Angry,Jester Purple,Claw,Red,None,Claws,None,None,Hero,None
mh5088,Sunset,Fun,Normal,Intense,Sinister,Mangoball,Green,None,Mangoball,None,None,Hero,None
mh5089,Pink White,Fun,Normal,Eager,Lower,Trunks,Black,None,None,None,None,Hero,None
mh5090,Grey White,Fighting,Red,Plead 1,Smooch,Grease,Blue,None,None,None,None,Hero,None
mh5091,Green Mangos,Fun,Red,Pixelshades,Pacifier,Diaper,White,None,None,None,None,Hero,None
mh5092,Mango Island,Fun,Normal,Mask,Mango Man,Mango Man,Green,None,None,None,None,Hero,None
mh5093,Teal Black,Fun,Pink,Intense Worn,Frown,FFF,Purple,None,None,None,None,Hero,FFF
mh5094,Mushroom,Fun,Normal,Calm,Jester Red,Plumber,Red,Plumber,None,None,None,Hero,None
mh5095,Dojo Light,Fighting,Sunrise,Angry,Shinobi,Shinobi,Purple,None,Katana,Shuriken,None,Hero,None
mh5096,Mango Island,Fun,Blue,Surprise,Buck,Claw,Red,None,Claws,None,None,Hero,None
mh5097,Blue Yellow,Fun,Purple,Intense Worn,Fright,Jester,Purple,None,None,None,None,Hero,None
mh5098,Mango Island,Fun,Normal,Eager,Lower,Trunks,Black,None,None,None,None,Hero,None
mh5099,Peach Center,Fun,Sunrise,Focused Red,Holler,Cape,Green,None,None,None,None,Hero,None
mh5100,Blue Center Dark,Fighting,Green,Stunned,Tasty,Mango Ranger,Blue,None,None,None,None,Hero,None
mh5101,Ocean 1,Fun,Red,Pixelshades,Full Metal,Boxer,Orange,None,Gloves,None,None,Hero,None
mh5102,Blue Yellow,Fun,Red,Piercing,Cigar,Jester,Purple,None,None,None,None,Hero,None
mh5103,Teal Black,Fun,Sunrise,Fire,Jester Purple,Cope,Black,None,None,None,None,Hero,Cope
mh5104,TBT,Fun,Red,Focused Black,Sinister,Shirt,Blue,Pirate,Hook,None,None,Hero,None
mh5105,Purple Center,Fun,Pink,Cute,Woozy,Biz,Tan,None,None,None,None,Hero,None
mh5106,Sun,Fun,Normal,Tired,Pucker,Chad,Yellow,None,Jo,None,None,Hero,None
mh5107,Barrel Red,Fun,Sunrise,Piercing,Cigar,Special Agent A,Yellow,None,Mango MPK,None,None,Hero,None
mh5108,Sun,Fun,Normal,Scared,Jester Purple,Chad,White,None,Jo,None,None,Hero,None
mh5109,Gold,Fighting,Blue,Crying,Gum,Mango Ranger,Yellow,None,None,None,None,Hero,None
mh5110,Mango Island,Fun,Red,Angry,Triumph,Pyro,Purple,None,None,None,None,Hero,None
mh5111,Purple Center,Fun,Red,Resent,Plumber,Biz,Tan,None,None,None,None,Hero,None
mh5112,Teal Black,Fun,Sunrise,Resent,Pout,Cope,Black,None,None,None,None,Hero,Cope
mh5113,Pink White,Fun,Normal,Intense,Fright,Trunks,Pink,None,None,None,None,Hero,None
mh5114,Mushroom,Fun,Sunrise,Money,Mustache 2,Plumber,Yellow,Plumber,None,None,None,Hero,None
